time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,439280453,429246413,451335809,480062616,511274517,604227303,638946050,666398124,635764673,652569329,693866393,708552859,730721975,783332928,941824737,823447689
-25,446706104,420551358,456888779,495195354,521075937,601582262,660130480,693167502,638947408,670374489,717769771,739233188,774502913,806712337,839742890,847779067
-24,442441055,439452419,474040963,508236723,528245343,632641385,684101767,726245221,682623674,699747107,748770011,781846629,799248877,839211234,856746918,878702937
-23,451091468,449855394,486858578,521269863,564167594,659425588,705813643,745288713,698558484,731617934,777913337,817215264,822247670,866513621,901001220,897591762
-22,460878162,467765742,498156823,536950295,596526480,683677313,750742923,782287289,728955325,766034643,822875415,837643083,844070881,914084908,936813712,944622457
-21,476201549,485781166,513797150,561956722,642129081,730645666,764222817,804770614,756182698,791969265,862608167,872900515,870256753,943502843,950680605,975556291
-20,485316539,503011945,543524272,590913892,666568510,765138835,796447904,833892962,802585425,834525881,869803793,919218133,896744328,965344358,985829502,1016307797
-19,494055495,521848852,555312357,609408144,693219656,793519734,818096539,856903353,825394050,872023251,893812535,945365264,940410074,998234948,1002788421,1044518932
-18,515742043,542718183,572079816,628192958,728333040,838570254,843853185,878128971,848592523,893677159,924169893,960294201,975501270,1038379279,1048986323,1067058864
-17,529877747,575487607,598902774,653751600,750145357,866559107,883563511,916699459,881174242,925977788,959799739,998308155,1003863531,1085920178,1084100999,1113333133
-16,542732740,588371028,627193581,683654856,784906464,894718746,906009168,938831902,912231972,971905006,988736296,987704297,1048651910,1124501986,1120819223,1182597787
-15,572473888,604627906,654621475,718186325,813327194,920659502,920777314,969607758,939700152,1013498691,1011765370,1047647832,1082530520,1160037068,1164363991,1207639067
-14,619624731,636726386,672168204,752720227,843701707,952660289,932864135,988424492,952081462,1043204295,1030501471,1057110360,1109593436,1191308528,1198228631,1265579357
-13,614588138,661865379,698769192,782800428,851562809,975950123,950589429,1011724713,972918355,1065883628,1049751003,1083517606,1128735839,1360539476,1228108155,1285270903
-12,615868927,685510444,726999899,817681364,852772430,1001228849,971687164,1016113233,993768475,1084549751,1066748468,1106899150,1165300580,1235302880,1242256186,1309048579
-11,649588589,718069008,746196595,821175060,887398719,1015682545,983096522,1054261528,1019574258,1101549180,1087497832,1138537560,1195386165,1253973683,1271677077,1338843801
-10,671836666,741914309,756453755,861345255,906110836,1025259254,989862471,1069714763,1039173929,1118206627,1098588864,1161057040,1207252552,1276643357,1292079849,1375308892
-9,692390982,762119375,776596102,887179969,924710780,1026260626,996475711,1085644288,1057156744,1131416683,1096499148,1170001835,1234915198,1300183991,1314705933,1416964465
-8,708157459,775916990,786445605,911140656,952292608,1042770003,1003618843,1092739638,1076371638,1150386926,1100780039,1178409950,1258371771,1308349701,1339965214,1435022895
-7,732205629,785267465,800442677,921441051,959338603,1039446553,1001110481,1105273210,1085823839,1137183451,1106791119,1192988640,1265928607,1322886979,1358225781,1458051777
-6,750273672,793137250,810116498,923123024,970260065,1042057920,1004250739,1108331619,1091561853,1135190876,1101069035,1211034421,1274366539,1332910716,1372682791,1481840880
-5,764477923,806487109,814135583,937911984,983452935,1043630233,992547431,1108442073,1094234697,1135220711,1098435617,1220514248,1276532145,1334863727,1368107165,1497667650
-4,777133191,825791432,820085244,945912609,994478754,1050735721,992266130,1105027092,1104534449,1142126151,1101719920,1228298512,1289836518,1346860405,1380847312,1510611867
-3,782960293,828249622,835363167,953375650,994707176,1053581831,994949835,1102224717,1105792123,1145302635,1076104001,1235170069,1293858920,1345138311,1393029075,1525272449
-2,779609315,833742012,834252676,961235148,1004552268,1049581007,1001152175,1109131334,1106435876,1135310012,1101630622,1240108335,1293740034,1361379586,1392423863,1530825025
-1,791761440,826920410,835078653,963965103,1011946979,1050454480,991740123,1105580995,1110115424,1129091519,1082419735,1226680060,1288509290,1358893905,1384684760,1540058851
0,789855469,823035332,833912305,965138101,1010281071,1043982545,988857646,1094432314,1104730510,1119684912,1055362403,1223352188,1408166875,1336729939,1365889602,1546628150
1,787250295,839630654,847333046,952946495,1037423164,1057743404,983799603,1103429313,1107809222,1112694582,1062379600,1228246991,1266157714,1338395307,1377990193,1534513086
2,791539596,842414799,837267107,986041476,1059681077,1071399206,998190461,1107350259,1115486979,1110090146,1053224831,1237542390,1274795959,1342544600,1381692250,1574028370
3,796029698,846554319,866226954,1001408853,1074179996,1088129338,1000801801,1113184899,1119486324,1111492078,1065163981,1245850216,1280427733,1350983309,1389328948,1562980396
4,801396362,851433281,873480341,1019086733,1084493272,1102438993,1008423958,1124350695,1120876638,1111147581,1078617756,1247549170,1282983829,1358285585,1409806201,1567054190
5,803345215,850633098,883968261,1023335289,1090143090,1111617412,1002813582,1119403781,1124448460,1107565097,1074647038,1247323670,1275943717,1364972076,1408016287,1568540600
6,803105406,854213152,884742342,1028881572,1097409500,1110129347,1009178114,1114829348,1116079578,1096561814,1081779425,1243651752,1267428692,1368613291,1407955006,1563397724
7,802935126,854075214,879992124,1033034900,1098673166,1104939535,1007401788,1118373470,1108542264,1098635240,1085268036,1245378928,1263179760,1367987452,1414055773,1566736692
8,804087169,852486781,881926216,1035125004,1101135554,1109965985,1007568555,1118395270,1107920996,1096159737,1091368312,1244875865,1282295973,1368931358,1420817147,1567392477
9,807242060,854210588,885768076,1037936046,1104151093,1109703524,1005059403,1109493022,1106219832,1096126037,1090175933,1240058560,1266989574,1366430037,1420096275,1573464423
10,807847250,855009367,883010786,1035981804,1101590098,1109583723,1009637879,1106237820,1107042713,1088065881,1093369775,1248573554,1265649198,1373831540,1423815169,1573792532
11,811724220,853598624,890637305,1036917557,1104737709,1105401770,1013259685,1108158898,1108560696,1104465829,1099173205,1249337925,1270620456,1375126235,1432730932,1580522302
12,815988007,856924883,894008640,1038434592,1107243712,1107690795,1020384719,1112965578,1112444811,1096920253,1115735115,1254639807,1277207656,1383015399,1444774780,1584456457
13,827603359,855626460,900062576,1040884060,1114388930,1103712507,1018908027,1114306529,1115443604,1113558487,1119215455,1280512530,1304164115,1413701444,1453319511,1591314755
14,819655775,846729242,891251113,1019286217,1100653170,1098205401,1005620811,1104048118,1108293566,1105777251,1112722217,1271013772,1296761392,1404578804,1451597108,1589147129
