time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,9032916,10282240,10838416,11339292,12806357,13239221,14523806,14637033,14420672,14289841,15160134,15204283,15700672,15000957,20886869,17567546
-25,10123703,9991781,10902877,11929476,12785942,12825004,14882551,15590166,14477791,14336761,15243720,15507472,16700901,15146564,17845504,17437732
-24,10134651,10575399,11274169,12376139,12949808,13492972,15330238,15872194,15566085,14737117,16092017,15735646,16402901,16213105,19038778,18609114
-23,10398019,10931358,11918804,12922199,13643901,13822883,15809487,16507799,15824041,15725982,16361645,17094832,16924043,16620146,19158082,19106727
-22,10513845,11288163,12146138,13206797,13656606,14718593,16563809,16920114,16125227,15478233,17172004,17434184,17506213,16682554,20479774,19673262
-21,3449940,11543469,12301821,13729684,14543042,15128806,16798010,17192702,16237660,15586662,17342460,17734887,17837725,16972306,20615183,20654968
-20,11594645,11917960,12768652,13981349,14845693,16118052,17488806,18123982,17257040,16392355,17547254,18002688,18845995,18157656,21276754,21111861
-19,11824412,12093311,12845285,14626036,14313459,16344798,17667247,18690760,17742560,17592339,18332935,18454374,19472944,18881158,21636824,22598959
-18,12538580,12239602,13469880,15139656,14884791,17395802,18146854,18569868,17752038,17628783,18406821,19126250,19115705,19350458,21623437,22979346
-17,12515217,4594920,13741672,16201768,14678746,17883664,19331285,19273452,17857935,18375459,18705709,19979495,19679751,19769386,21694769,23659278
-16,12733744,12298227,13830388,16576344,15114413,18846778,19765729,19025564,18522562,19727406,19404820,19137609,20891819,20578571,22377750,24949308
-15,10087143,12925632,14077259,16098431,15812326,19652928,20122941,19532889,19535742,20889415,19793420,21022987,21210215,22350029,23162866,27748598
-14,14105728,14231413,14392083,16400502,17595923,20107147,20350155,19926122,19747554,21945990,20202386,21418307,20760386,22813487,24401632,28404540
-13,14164589,14575175,14957709,17120842,18216632,21022279,20558722,20304327,20071532,21947776,20658643,21877797,21929927,27607518,24877439,28961529
-12,13906322,14640358,15087639,16899153,17836319,21246722,21148372,20197009,20719212,22394053,20981976,22482087,22755381,24398683,24634212,29337590
-11,14680432,15041147,15881258,17258750,18835704,21287936,21301444,20916515,21105533,23006183,21892316,22865985,24391248,25410039,25877015,29894561
-10,14795365,15637371,15978710,17973926,19412363,21409626,21550376,21502288,21601849,23014902,23005200,24370577,24359606,25804650,26557833,30288105
-9,15207655,16002898,16530905,18493696,19826439,21486734,21602403,21770783,21816716,23096876,22658942,25284850,24811185,27007159,26927311,30123673
-8,15469095,16091878,17124871,19082623,20485670,21624167,21566395,21881892,22180334,23355626,22873228,25680717,26201235,27207988,27670260,31090221
-7,15880863,16092927,17162374,19309365,20835773,21542811,21301541,22621311,22529595,23364397,23363535,25875387,26776041,27425395,27982165,31813760
-6,15709955,16264072,17100691,18767256,20334276,21817782,21515307,22585489,22762874,23340651,22884498,25783006,26810956,27786525,29281324,32217927
-5,16015225,16347562,17319884,19356308,20608608,21285823,21361312,22738619,22517778,23557463,23022714,25969930,26634583,28568664,29074797,33061211
-4,7614220,16269801,18270026,19358659,20850723,21473129,20804156,22560527,22852336,23250709,23311078,25890625,27071624,28628150,29900476,33771589
-3,16008578,16183063,18483366,19504338,20962314,21852406,20954052,22661628,23021121,23503012,22547525,25389105,27076162,28629826,29536981,33932214
