time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,4583000,5512000,8124000,7952000,11441000,13979000,15335000,17949000,17468000,19978000,21992000,25797801,28656471,31187145,41665656,30692520
-25,5313000,6012000,9030000,10112000,11623000,12978000,15201000,17974000,17651000,20824000,22424000,25935665,27984993,31752167,33165344,33475385
-24,5039000,7764000,9276000,9820000,11677000,14156000,15495000,17028000,18153000,21738000,23330000,26242479,28836643,32749808,34084168,34147775
-23,5655000,8892000,9279000,10442000,12570000,14798000,15776000,18023000,18396000,22380000,24061000,26476910,29049822,33049260,34989046,34935662
-22,6423000,9519000,9142000,10857000,12950000,15856000,15671000,18330000,18658000,22283000,24075000,24975829,29491947,34530804,36998112,37335880
-21,4650000,9468000,9684000,11410000,13395000,16118000,15498000,18542000,18606000,22599000,24050000,25766072,30334148,36109109,37525088,36830421
-20,7246000,9863000,9627000,12335000,13548000,16718000,15556000,19236000,20739000,24046000,22300000,25522968,28432728,36023265,37079491,36164229
-19,7371000,10354000,9818000,11657000,14000000,16858000,16507000,19617000,20934000,24401000,23170000,27537666,30848866,36052816,38081000,38678535
-18,7268000,10941000,10067000,11678000,14167000,19475000,17381000,19728000,21118000,24162000,23975000,29350697,31046050,36199524,36220035,39476944
-17,7304000,7575000,10260000,11982000,14273000,17826000,17603000,20104000,21206000,25217000,24910000,30679072,31146647,37114328,38292574,40106262
-16,7679000,11094000,10982000,11817000,14508000,17969000,16634000,20860000,22351000,25639000,22556101,28358410,31647919,37949889,39470246,41356451
-15,7596000,10177000,10840000,12425000,14520000,18589000,16507000,21763000,21426000,26129000,26399532,29917433,31796944,40789612,40313599,41943748
-14,8615000,11463000,10712000,13178000,14570000,19222000,17161000,21375000,21686000,26007000,26834680,31540492,35764298,40563515,40603917,43013587
-13,7948000,11045000,10682000,13797000,14989000,19129000,17635000,21440000,20987000,26013000,28332001,32928203,36478734,50331986,42138913,44497721
-12,8057000,11801000,11086000,13658000,14532000,18616000,18245000,21610000,23595000,27077000,28488702,33791719,37143427,37708518,42707486,47500856
-11,8380000,11808000,10732000,14037000,15565000,18908000,18663000,22265000,24625000,27535000,29383107,35430915,38138000,41089362,43409930,48499289
-10,8311000,12203000,11086000,14915000,17187000,19767000,18012000,25055000,23871000,28086000,31869955,35599079,37064300,41134185,43748249,48995847
-9,8247000,12227000,12221000,14879000,17302000,19671000,18588000,24755000,23713000,28930000,29748503,35111063,38052261,42405611,44939306,51606330
-8,8244000,12112000,10980000,14632000,17588000,18625000,18729000,23870000,24742000,29065000,29751530,34877694,38438432,42971908,45096932,49897835
-7,8543000,11991000,11147000,14730000,17676000,17767000,18624000,25160000,25447000,28545000,28929436,35041019,38442067,43037040,44864479,50186551
-6,9001000,12330000,11786000,14903000,18033000,18344000,18894000,25620000,26015000,29040000,29278927,35798549,39036660,42295421,46354294,49532878
-5,8940000,12259000,10989000,15159000,17587000,18452000,18679000,25715000,26093000,29625000,28745887,36470614,39359051,41742938,46277749,49703296
-4,6975000,12773000,11052000,15648000,17740000,19423000,18372000,25635000,27057000,30920000,29288371,36405442,39530136,42633241,46395187,50599468
-3,8842000,11550000,11162000,17211000,17910000,19561000,18677000,24980000,26619000,29687750,29109604,36434797,39097112,43067229,47331929,52177944
-2,8880000,11280000,11020000,17123000,17718000,19059000,19255000,24830000,26627000,29763606,27903385,36791320,39087426,42456297,45898839,52816514
