time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,84906173,84573088,90005380,102847003,110578868,138943370,134875276,145862884,146231459,149176254,161865569,172160111,174381337,188857242,214484059,198918754
-25,86827817,81488662,89942811,104981933,111969888,140485791,139207179,151637604,145280433,151247391,165348361,176186737,189277543,191222012,191100145,200238838
-24,84111018,84590986,95694252,104806731,110436553,142091330,145600239,158795466,154996789,158160213,169602666,183843221,191512253,192307679,190532453,207154008
-23,85524384,84918157,96799625,106614853,117636696,144328450,147780100,162176330,157823854,158915134,174733506,184375614,190594335,195731776,198550667,209950897
-22,86742862,89044331,96566418,107916444,123974404,145916153,153845523,169480928,163341168,170409925,178505165,187812213,195390373,207288287,204770272,217728471
-21,35345000,92136770,100566420,110671581,131171731,155139245,158033966,177645177,165463775,176537650,187075380,193234324,201827165,208646273,204655487,222013244
-20,89345472,96238320,104481508,113256233,136506977,162336448,161790518,182565261,174462485,182442381,183350935,207114995,204414104,210868961,212404882,229724741
-19,90624669,99734062,106096400,116399335,135509604,165564042,164069721,182466149,177920342,187074272,185511984,215732488,210193778,216052628,216571412,235793994
-18,94785432,102781689,107653214,119217398,141985510,173868552,168172002,185752210,184369973,192825764,192576150,216182671,213854041,220085690,221858082,233366038
-17,96090030,51147500,110664436,124459531,148067956,177723266,173727323,189595599,186654795,197612789,199780401,222551423,219669331,229441359,225102534,242066674
-16,98863440,111944772,115543841,129511915,154872608,180248289,177938434,195665166,192574507,202890235,204079883,214630924,225398270,234473284,229959876,250021190
-15,75092299,113042354,119308093,134766632,159685616,184287251,178584083,201600721,195862692,211648240,207519885,232243801,232065203,239420816,237678123,252343017
-14,107621185,118075569,120543863,141914015,164501425,188791511,179079627,206485154,196697902,216357323,210662773,227727018,238056346,243585739,248619904,262033546
-13,108368069,122058943,126406785,145383886,165179017,194267517,182167916,210929763,199213346,219255952,212255443,227987809,241104222,284179841,254267896,269948860
-12,108255010,124695483,128221823,149534441,165118228,197405108,186063127,209386704,200875041,222902205,215776988,240267718,247109706,252828315,250880892,274621871
-11,112783799,132017418,129242646,147982814,168175679,199077600,186444682,215841167,206162983,226044776,219605785,249544342,251290239,253722019,259380272,284386178
-10,117067737,136797050,131195593,156853241,170080784,203916574,188554105,219204515,206730657,228160148,220232492,249491078,253425814,258970074,261390822,289773148
-9,120740162,139430926,134519383,160894904,173088137,201486694,188976915,217389465,214782043,228127497,218770483,249549637,263707260,267526734,265118109,297500457
-8,125227079,143516680,134194366,166724762,178351883,203883766,187721769,218033866,218103939,232890337,218971961,253076858,265820291,269069473,268019714,298988445
-7,131302248,145572936,139992366,169019606,181476502,203036764,185971186,220190951,217941819,226898477,221247116,254962736,268439064,274023002,273530350,304903574
-6,133188303,145540339,141872782,168874212,182120431,202106664,187767798,218984343,218154919,224660426,219598035,259168744,270569252,275551067,277473409,305522151
-5,134706706,146021302,142826732,173137807,184985961,202139521,186975860,221795956,218649093,225106506,218325587,259027810,271135028,274658286,274633269,310766006
-4,74075000,149036959,141220728,173506780,187907528,203552926,185262200,217262006,218126975,228272342,220254107,260144764,274057801,273682614,283600864,311685958
-3,135471675,149921719,144416917,174668163,189169142,204643597,188153009,217596550,215577482,228275991,214070866,261648326,272940772,272138418,284092579,316853689
-2,135834132,150340968,143178687,178328992,191262138,203635892,189827694,216637595,217372641,224855115,226046979,263843027,272749477,277903207,282195608,314970242
-1,137462872,146391831,144230341,177502304,192249790,202774499,187270106,215580511,217574547,222831429,214662155,259481449,270209917,275716699,281362497,318140040
0,137175336,147597111,144620120,178135717,191583265,200470942,186366869,213300596,215540820,221010231,204005126,257470739,295463409,267863090,279152455,319041781
1,136408483,147599129,145951393,175591313,197222710,204997998,185248579,212695222,217601580,220415205,212339912,257291594,267834841,262896957,283366312,319144206
2,134659036,144570725,141633425,180666193,200525515,208003752,187902230,214760959,219289807,218413267,210450716,257850010,268484581,265965309,288046187,329121275
3,135560963,145764267,148602033,184400263,204068071,209363802,187857362,217072105,220842193,218645565,212465541,260905230,270715164,265560012,288593705,326724654
4,137231785,145917328,148524508,185172477,203540618,212186600,189349834,219872925,219662068,217590179,214073891,258812704,272452091,267064671,291088613,325900595
5,138024193,146386139,149635252,186283838,205511306,213823101,188843374,219250836,220368904,216900923,214559435,257570711,268766286,268937546,290862631,324503921
6,137545389,146795564,149188192,188086186,206536777,213463942,190018119,219569222,217387523,213564948,215334299,256805428,265488261,269768475,291119040,325048803
7,136697410,146191772,148859630,187800208,207010113,212165164,190466641,219080863,215341300,214562494,216150378,257478096,262324633,269367041,291754473,325017908
8,136576213,144913819,147703654,187655370,207972546,214434004,191754101,219428126,214182559,213764989,215143816,257648372,264288421,269769799,292764620,325006221
9,137747192,145916447,147751074,187514936,208560251,211844144,191316031,218733954,214915846,213379106,215516433,255861042,264030671,270108373,292697991,324756663
10,137167957,146258519,147189144,186435664,207376266,211616838,192153934,216925692,214348028,210930159,215569916,256147670,263638103,270440710,294047752,323725311
11,138374083,145301306,148470304,186112056,207706317,212529011,193488528,217854825,214788860,217790797,216671831,255473785,262578941,269466254,295016410,325068124
12,139125585,145385939,148973749,186053914,208209108,212329905,194676759,218984902,215910157,213013384,220274145,256329793,263092075,269946312,296978012,326789400
13,142118040,144852706,149554025,184996673,208749147,210553809,194181796,219318181,217961701,217404202,220677524,261961566,269144978,275556369,296779997,326452665
14,141805460,144351676,148347350,180896818,204867622,209697348,191374886,216190486,216386681,215674202,219554839,260669066,267512488,273395159,294142464,323454814
