time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,2029490,2767493,3189711,3310508,4448949,6570995,7699521,8062344,8873880,10605723,12015661,12951916,14274559,15702557,18634331,18646798
-25,2283884,2800157,3168275,3499573,4850141,6260743,8222838,8146515,7653913,10543177,12181615,13318307,14767601,15614548,16384866,20565247
-24,2273008,2564049,3391729,3564561,3855125,6527572,8474967,8627455,9379138,10902915,12512686,13868181,15245339,16461350,16406641,21612053
-23,2427997,2892608,3482788,3983890,5354300,6635002,8620431,9276041,10067273,11463461,12879190,14938846,16659476,16209853,17045388,21738415
-22,2639183,2527425,3466534,4032946,5195545,6966327,9221001,10694596,10156723,11537517,14085046,15373568,16209484,17853317,18933544,21967974
-21,1506000,2744297,3622145,4446349,7262937,7762436,9161169,10862537,10751204,12649965,15008478,16327370,16927652,18673173,19221665,22612030
-20,2856988,3162409,3701509,4864133,7498656,8640994,9261505,11631674,11323123,13280010,14669298,16484959,17020623,18515428,20353984,23570900
-19,3072653,3194249,3780951,5102610,6573730,9294752,8836223,11852952,11742939,14024687,14611415,17124071,17409741,18635862,20406236,23739643
-18,3079268,3026188,3872096,4931482,6901778,9631770,9539120,11764305,12075350,14145323,14863380,17041752,18004151,19069304,22380498,24367578
-17,3128372,1541000,4765087,4918710,7141167,9137469,9617509,11949758,13139014,15043953,15948508,17503380,19040637,24979067,23302828,22907196
-16,3804610,4401777,5324501,5680339,7985164,9220844,9624649,12111622,13366344,15032634,15839728,17698934,20303068,25728528,23482652,25065541
-15,2318900,4459128,5507213,5872535,8107486,9265771,10054650,12205445,13521105,15137667,15896183,18249396,20311672,25433739,23925859,25431985
-14,4061499,4574430,5687811,6500630,8289192,9796437,10058036,12441596,13839519,15358726,15980849,18445224,20686434,25887394,23810901,25962898
-13,4546705,4778941,5672893,6935952,8143685,10072956,10195968,12835384,14122069,15642458,16301014,18628721,20863280,28654065,24267029,26397758
-12,5240180,5154530,6091198,7581234,9180541,10634598,10375089,11560448,14265292,15865275,16259927,18476032,21031128,26238713,23337767,27303066
-11,4981154,5128739,6444019,6859157,8673241,10348219,10443910,12830980,14668869,16018624,16747901,19057277,22011160,26096149,23937269,28921521
-10,4605682,5209994,6583282,8263555,8686165,10405292,10604320,12943138,14518299,16310719,16636104,20131355,21221722,26302548,23893089,28590686
-9,4468449,5386663,6670008,8083739,8976252,10240176,10872210,13106034,14577169,16537819,16650362,19325963,21712179,26656189,23530784,29106957
-8,4533015,5280178,6688495,9554232,9103390,10395947,10744043,13078537,15198680,17150583,16714593,19834926,22343261,26738295,24226908,29541948
