time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,16871696,7594569,6590342,10707512,7823110,14711130,9889299,8467739,7802901,11162326,10378337,9757076,9087940,13356193,16608885,14640882
-25,17511272,7671651,6661562,10423653,8377423,14853202,10328758,9443561,8018470,11689004,10622968,10077500,9233979,14484032,15753706,15592790
-24,17754004,7792756,6695424,11711837,8212663,15814377,11466299,10111446,9506477,12183886,10974392,10686771,9471622,16209258,16947031,16406437
-23,18337826,8417202,6959853,12892417,9798141,16522898,11834547,10288032,9899627,12728363,11363441,11086104,9874919,18242665,17777019,17187063
-22,20049886,12778331,7432706,13250101,12331721,16776216,12052634,11025165,11235134,13763024,12909376,11582672,10357703,19088472,18933342,20463329
-21,21466669,13781551,7542894,14437347,12627795,18960302,12590642,11142795,11851833,14948365,14169413,12111794,10909863,21138568,20410154,21102078
-20,21568922,13842403,7897407,15876355,17069477,16872848,13753521,13111428,12182070,15578835,13320573,12728620,13462809,22667900,21941612,22924996
-19,21960382,14061566,8784113,16482004,28038597,17970229,14669933,13688701,12749478,16782378,14677452,14212857,15039553,23191472,23300306,24106488
-18,22544249,14082219,9249994,16617666,31200188,22001357,22397574,14133788,13240625,17922111,15465929,14803033,14876451,26112595,26576476,26480161
-17,22827852,23440915,9975715,18499763,32855765,26653144,23978758,14673719,19453880,20595687,16233304,15405246,15154240,28582698,31873369,30113731
-16,23388575,32760204,10868589,20306088,34105616,28076203,25914281,17013024,21270902,21717151,17672919,14921111,16258884,32317920,37416944,34770017
-15,31413073,33494879,23418281,29621366,39233314,43502866,27242013,18965654,23430757,23983418,20225007,17310332,18938798,36659511,40814550,39928403
-14,32411674,34108893,22947174,31656611,50151108,44958767,29380774,20773198,25468962,25628036,19999929,18742812,20331844,40069070,44702142,44287061
-13,34218177,35515230,23547475,54006929,45797468,49219045,31202999,23630778,26362491,26177985,20604494,19579289,20969824,45847908,49307781,51474043
-12,35237702,36458114,31895208,59134748,46807614,50457552,33870361,25203485,30013020,28422280,25498850,21142679,22211395,49497561,54749042,53801924
-11,43049030,41772979,35960253,61818128,55913135,54737556,39092135,31948654,33704595,31910579,30194141,24520956,27855076,60402813,60603260,62283326
-10,47990121,44101747,41620951,68088680,60882039,73219354,42892999,36746229,40100349,35302315,37450159,27930267,32940973,68830127,70056969,75992971
-9,62206637,52600766,47335701,70791105,66838466,75792596,47093673,42310444,45034653,40516679,39842258,37316222,38784534,79215636,76551535,83112396
-8,66198155,59338637,52423345,75685868,79957705,80315393,51124308,45182622,49230780,46202350,42612773,40129023,45462334,86659600,84964803,91111354
-7,75081811,70412970,71147458,77918980,84528376,86502046,53811622,49691868,60390463,54091761,48749785,45523468,48853652,92779732,91916283,104831855
-6,78429941,77153012,76180018,101168497,90700379,108989724,57178600,52738550,65152887,58779318,53285585,49378956,52857154,99763069,98874167,111758109
-5,82613458,81057178,78060252,103305780,96759592,110076990,58234992,57760310,67315151,62830694,56426290,52355929,58856499,107451662,108301059,128111638
-4,81666129,84319673,78336936,105737617,100550372,111182724,62826820,66832815,71077207,67200507,58217843,55403442,65306800,116143892,118020839,136310950
-3,86725044,90552593,82674003,107772348,103602416,69915074,64759975,70097186,74505650,75777997,62561246,62210334,69310093,125908059,126257529,147085717
-2,88600099,98346539,87442395,95755343,105705212,73204189,68588980,76826939,76544404,78896881,68286748,69652507,73707160,131693592,126615554,154940006
-1,92984184,101700501,89028271,110334353,107048712,76276542,69613771,79291872,80986366,81627365,69975307,72922625,78605584,135336452,135327785,167861275
0,92092008,103798927,91568480,96634102,106888052,76842215,70577328,77369101,84393016,82696008,69085366,73706504,83385676,139378422,139213777,169382733
1,96208710,112121797,93588534,96141209,110684994,80396293,71801005,81153826,85898496,85849698,71840306,77193293,84961837,147885844,145984861,174188951
2,97918133,111942209,94424608,99555243,112427307,82773148,72015735,83250308,86818853,87932466,73630891,78732578,89375688,152411993,159838046,183016379
3,99806181,112569249,96163478,99206850,112329364,83831951,71787973,84015397,86640010,88881928,73423752,80001086,90492311,157424944,168607033,195216088
4,100744666,113274998,100581799,99703250,114120303,83744697,72591139,84200982,87712506,89747651,74650100,81384136,91401069,165329408,171858269,206334492
5,101502036,113353955,100752706,100067979,112061908,83205667,72210795,86301881,88542512,90590041,76475008,83025038,91934117,174143608,176245002,208861954
6,102679130,114901897,98117793,100466079,119035512,84290416,73406768,86900488,87921578,91241329,77733059,83512572,92379920,177541534,182392405,211429311
7,104578091,115005842,99830524,101140974,114890338,84777996,73495188,87156602,90146517,91354354,79054187,83447190,93205074,178779859,187044977,216860551
8,105442571,114214861,99515462,101538135,115608287,84025315,73719733,87457117,91816269,91878051,80067886,84364561,93050632,184196717,187925467,219837156
9,105917526,116370474,101178256,102666702,115911260,83874978,74146337,86341183,92588393,94029814,79979222,85646359,93540845,187446668,191320895,224839204
10,106528375,114215012,102969893,102888002,109002095,89837000,74617310,87083179,93057265,94602547,82117943,87281319,95236243,192138894,194376947,228662196
11,108622606,115704495,101193249,102972909,110142625,90041509,76085329,89095611,93918461,94679673,82703256,87909525,95575722,198226667,196629857,230518411
12,108747651,116602454,101723450,103747364,110248537,90699007,76531951,89185168,94296458,94872675,82688571,88812936,96438492,201965728,197702156,234309255
13,112737607,117185980,100488497,106357843,111878568,91215653,78326183,89668800,95036582,97229017,82794740,89436821,97472897,208586735,198852415,240083365
14,110728064,117134511,99978876,104971679,110806321,90395032,77439200,88993066,94453804,96561418,81698801,88897758,96724100,205144446,197234877,233503733
