time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,940915541,834985812,1041332758,810248599,832371151,782712813,810867184,814707263,789050256,833356053,928041634,833664833,815345522,923562352,1014710988,779441753
-25,955839458,808347801,1078022688,826727444,841752356,746439793,856948682,846890643,841559776,861230953,964724338,886193686,854488156,955146364,956509548,789018519
-24,978935075,878408319,1086761123,854792737,849203756,818231239,900127607,912886774,888661470,904784985,982611801,907904263,897552164,995890457,984327450,810615430
-23,992790622,890482956,1099950357,874807865,869845242,878700556,940020206,987543456,917737876,1062949187,1019455212,928361677,940032773,1058554836,1026047618,829914658
-22,982199225,921341962,1099364441,905907419,885718056,884000943,1102195478,1082854731,976265117,1133781307,1101117428,991953225,955636361,1135192270,1041141949,839582014
-21,1053815860,947241912,1159136989,947849458,936979540,960719637,1139715332,1101068535,1042209073,1177729433,1127854788,1020401732,1010442787,1191422121,1076294567,849105648
-20,987929904,963621785,1203230237,974803049,942467272,983244793,1207629882,1194641955,1105113717,1277550913,1177271303,1079097859,1052800968,1256443361,1127758646,894501121
-19,1047109037,1005184872,1262718785,1007343328,957010083,1038655640,1262889352,1265914998,1172441415,1368472192,1236771330,1187763469,1109404823,1269784537,1248246776,955882941
-18,1058566746,1033260019,1296476594,1041402478,985847792,1098527953,1317650416,1282063918,1267655908,1486537945,1290885273,1217608910,1182356483,1386344846,1277413560,998565717
-17,1093698359,1147137571,1365168596,1094014604,1073782518,1181749327,1421536591,1374605514,1389757834,1542117950,1397229392,1275738832,1245737624,1506082259,1305730883,1042768504
-16,1116706030,1298074700,1433933783,1148721073,1129988345,1238320013,1487444112,1420687941,1533107964,1599229282,1551748653,1380384055,1375488652,1628297688,1405391414,1103833103
-15,1202475398,1416370520,1502843242,1193428613,1206197285,1352672871,1558541236,1621512448,1604785966,1740219264,1607524437,1434758270,1432683973,1696694416,1470546006,1194641903
-14,1276202893,1524576228,1567752839,1282758678,1247036292,1442917861,1684429165,1700052518,1699529923,1827158910,1825031385,1537224614,1539577762,1759415925,1477494729,1223152174
-13,1293596496,1606627326,1640817523,1343795004,1327373273,1536201086,1791153448,1795405590,1981327378,1888878710,1837341663,1572562015,1561331689,1995442543,1493429474,1305105458
-12,1292629659,1741799397,1714002010,1386058618,1318182227,1664499392,2150386532,1917471148,2168135724,2017813743,1958456501,1862009742,1602908307,2171405909,1643481790,1372852438
-11,1386813211,1815258877,1850762283,1439470680,1470999608,1816955990,2272398773,1971524053,2275312468,2084702215,2036661088,2058161686,1856527163,2378459884,1790963589,1629052511
-10,1498712937,1867916506,1922819809,1542505625,1544137280,1990154187,2333578575,2067127323,2396027963,2207513450,2094021783,2217059276,2092370571,2520856063,1895457582,1799996668
-9,1632952202,1988759411,2024978201,1669212856,1700476703,2171047346,2451165987,2223306110,2531323250,2469343448,2286502929,2384184688,2176514708,2783548381,2057870002,1940162114
