time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,3525000,1905000,1445000,1120000,1450000,1235000,3485000,4100000,6450000,6055000,7515000,8645724,7257930,9419230,11347406,9026796
-25,4270000,2305000,1740000,2020000,1475000,1690000,3550000,4645000,7395000,6395000,7020000,8669322,8848140,9564230,11126590,9296632
-24,4465000,2755000,2195000,1955000,2565000,2550000,6100000,5505000,7415000,7075000,7155000,8816224,8937942,10035874,11671858,9358042
-23,4260000,3050000,3015000,2115000,3185000,2635000,9105000,6170000,7240000,7535000,7320000,9652688,9198110,10155878,12756314,8826274
-22,4655000,3110000,3797460,3775000,3540000,4725000,10340000,6740000,8365000,7730000,7675000,9637676,9641176,9816958,12979310,8064914
-21,3870000,4445000,4322240,5165000,5110000,5480000,10655000,7545000,9255000,8490000,8745000,9727576,10441062,10208984,13560812,8897837
-20,5793000,5372000,5966000,6240000,5675000,5745000,11840000,8550000,9600000,8760000,9135000,9327564,10816478,10228984,13822832,9368733
-19,5488000,5747230,6796000,7110000,6505000,6840000,15950000,9290000,9965000,9315000,9805000,9738828,12098430,10516812,14491049,9749271
-18,6223000,6430830,7606000,8540000,7500000,8995000,19575000,11020000,10385000,9420000,10065000,9915098,12194190,11057514,14933927,10457390
-17,7391250,2415000,9717000,14355000,9535000,9878360,21595000,12715000,10675000,9780000,11678506,10101470,13696866,11580294,15110338,9996860
-16,7902250,8812230,10472000,14955000,10840000,12636800,22240000,17025000,11270000,11435000,17125092,11564418,14391638,12043334,14705154,10530984
-15,9789000,11748230,11582000,16665000,13785230,14246800,22800000,17345000,11225000,11965000,17550026,11924526,14177094,12213610,15527823,10630913
-14,11717000,12648230,12117000,18700230,15100230,16626800,24100000,17900000,11340000,12800000,18135824,13727622,15478048,12879118,15243312,12343725
-13,11902190,12915780,11657000,20235230,15485230,20346800,25455000,19085000,11880000,13170000,19135666,14130586,16094262,18509562,16754630,12585396
-12,13187190,13717540,22423000,20466230,17100230,20606800,23820000,17725000,12440000,14695000,19419804,17348196,16369162,18519019,17395947,13998930
-11,11669345,15292540,21088000,22586230,19430230,20831800,24695000,18675000,13625000,15550000,19586598,20313256,17673116,19100961,18794291,14637886
-10,14821460,16547690,21833000,23167230,20649230,22101800,25430000,19830000,14945000,16250000,20939040,21384336,19698778,21118671,20233241,17294117
