time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,15603454,12978957,7757037,4748966,335000,146000,1217500,3268000,2064000,982500,4308596,2239228,3040234,6556626,7753798,6360684
-25,17397568,14918125,7863037,4176235,339000,384000,2054000,3036500,2368000,1332500,4803096,2758976,6004712,6716388,6013808,6370326
-24,17895521,6855650,8049037,4752433,349500,512000,3293000,3279500,2488000,1630500,5015496,2655574,5948086,6459696,6297276,6598956
-23,17903521,7089650,8424629,4754433,358000,615000,3667500,3214500,2526000,2508500,5054196,3194236,7331794,6625890,6327142,6652622
-22,17797718,10354679,7894295,4894123,459000,721000,3686500,3318500,2819500,3011500,5162746,4084178,7457052,7065280,6519854,6527096
-21,2258000,10470519,8078543,5114403,695000,750000,3945000,3435000,3135500,3032500,5251896,5110936,8949702,7172274,6873908,7076464
-20,17578390,10500519,14365167,5410011,716500,873000,4166500,3454500,3403000,4079000,5113000,5197488,8923462,7231224,7173266,6926356
-19,17736390,10500519,8120543,5692010,718500,966000,6525115,3669500,3708000,4283336,5325800,5317642,9104838,7323535,7200224,7781754
-18,17746390,10538519,8088543,5720010,858500,1049000,8390115,3779500,3716000,4388336,5647400,5392742,8997914,8026893,7433792,7791304
-17,14718310,864000,6844253,4460024,1238500,1027000,7992000,3968500,3921500,4445320,5935566,5585092,9201708,6724364,7466174,7852072
-16,13978278,10502498,6968755,4468024,1187500,1255000,7036000,4404500,4023500,5048724,5425184,6159024,9495078,7354494,7959632,7879704
-15,15880813,11017498,7050756,4597653,1271500,1951500,7279000,4647500,4527500,5471488,6008270,6255282,9677788,7685196,8128310,7914272
-14,15858463,11485139,6994712,4498368,1373500,2432500,7765500,5331000,4692500,5944368,5115754,6313410,9658638,9597584,9167348,7958944
-13,15890463,10620480,7042534,4525208,1509500,2500500,7805500,5723500,5031500,6071680,5825611,6273068,9095588,10595796,9359544,7630452
-12,16494609,11376480,6687574,4594411,1881500,2708500,7487937,5876500,5299500,6106180,6012963,6655986,8782738,9149172,9119021,7734576
-11,8378568,10742783,7303913,4628861,2094500,3222500,7789402,5889000,5361500,6341648,5823309,6733838,8712458,9047554,9467401,8843446
-10,8919568,10613235,7136126,4648324,2072000,3798000,7846070,5647500,5188000,6478698,6327963,7376980,9225834,8801308,9235803,9949496
-9,11373270,10581776,8038228,5022904,2427000,3976500,7973748,5640000,5180000,6313598,6910763,7847260,9405846,7880392,9287085,10074518
-8,11729880,9980463,8455511,5217380,2483500,3950500,7887779,5546000,5398500,6415148,8090227,7665541,9155214,7738852,9184881,9814074
-7,12107019,16591716,8824950,5175446,2485500,4007000,7765235,5201500,5767000,6433900,8329533,7615308,9315314,8184058,8940159,9620537
-6,12285022,10107426,8718243,5313071,2563500,5530847,7422635,5101500,5975646,6437500,8290868,7735296,9165362,7607323,8791006,9791953
-5,11775199,9956789,8951172,5434040,2795500,7134657,7368452,5028000,5780592,5972850,8172869,6923285,8651095,7993810,8623463,10536410
-4,3904000,9079976,9625636,5231610,2906500,6981696,6936938,4988500,5468095,6150283,8260241,6640724,8355649,8053602,8971652,10232522
-3,12049058,9115447,10135441,5421767,3183000,6756354,6967719,4927500,5151401,6400806,8158937,6388684,7868888,8360030,8981082,10225115
-2,11893618,9360617,10179928,5301439,4088881,6190432,6848729,4542000,5372443,6474693,8462864,6260889,7656901,8161909,8954235,10256024
-1,11499170,9597424,10201756,5348380,4081663,5753297,6786353,4327000,5203593,6438562,8747192,6556573,7667540,7617744,8989193,10138581
0,11688200,9971104,10215791,5207095,4066000,6539948,6235214,4366000,5081344,6868500,8778467,7544354,8469095,7625259,8865518,10559532
1,11912724,10421129,10453201,5454404,4226085,5858834,5877262,4496000,5078832,7906730,9093449,7568721,7995569,8106675,8916435,11002133
2,12676951,10634077,10811583,5961946,4667575,6459790,6364430,4444500,5134554,8786393,9519851,8278887,8938347,8849549,9519573,12765419
3,11846802,10859845,11475346,6464943,4813575,6725253,6874481,4751500,5224546,8864082,9376043,9209592,9317797,9205173,10503754,11869525
4,11812519,11319270,11108689,6937708,4961775,6874509,6566981,4866300,5541118,9197879,9450246,9837311,10355688,9203552,10417152,12521331
5,12719557,11204115,11148978,7226720,5202775,6897608,6750301,5441300,5588330,9786817,8505007,10214849,10679632,9141604,10625953,12364709
