time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,72000,291000,366000,426000,573000,519000,609000,807000,801000,972000,771000,513000,858000,876000,1110000,852000
-25,72000,294000,387000,408000,564000,549000,627000,780000,798000,990000,759000,540000,900000,882000,1221000,909000
-24,63000,252000,414000,327000,522000,555000,627000,750000,771000,1083000,756000,528000,852000,840000,1077000,858000
-23,66000,249000,399000,327000,465000,600000,633000,678000,792000,858000,639000,471000,762000,870000,1290000,1026000
-22,60000,264000,417000,330000,528000,630000,639000,603000,726000,867000,684000,468000,798000,933000,1299000,1089000
-21,66000,312000,444000,297000,522000,633000,648000,672000,1023000,852000,696000,483000,762000,1062000,1209000,1431000
-20,72000,312000,468000,246000,528000,633000,723000,663000,1083000,795000,690000,669000,777000,1077000,1326000,1455000
-19,255000,300000,522000,288000,561000,642000,732000,684000,981000,780000,924000,834000,780000,1107000,1425000,1611000
-18,315000,306000,543000,312000,555000,720000,747000,657000,999000,771000,1071000,915000,813000,1104000,1419000,1659000
-17,831000,378000,582000,303000,552000,753000,774000,732000,993000,759000,1038000,885000,810000,1224000,1785000,1656000
-16,813000,549000,570000,483000,567000,738000,837000,660000,999000,1092000,969000,942000,804000,1212000,1725000,1875000
-15,864000,699000,702000,513000,552000,681000,843000,726000,1023000,1179000,960000,963000,807000,1236000,1764000,1938000
-14,789000,855000,699000,528000,540000,702000,828000,723000,993000,1161000,1233000,948000,771000,1176000,1812000,2259000
-13,753000,852000,681000,549000,531000,711000,867000,666000,1128000,1173000,1203000,963000,873000,1146000,2118000,2337000
-12,747000,855000,690000,546000,498000,942000,915000,723000,1155000,1191000,1230000,1086000,894000,1377000,2409000,2340000
-11,792000,885000,663000,423000,474000,942000,942000,732000,1233000,1215000,1434000,1032000,864000,1332000,2475000,2373000
-10,795000,837000,636000,414000,531000,966000,1020000,666000,1362000,1170000,1524000,1146000,1044000,1476000,2610000,2877000
-9,651000,798000,627000,459000,549000,987000,1041000,672000,1338000,1365000,1410000,1095000,1026000,1506000,2586000,3210000
-8,792000,744000,624000,471000,603000,957000,1029000,1053000,1284000,1347000,1338000,1134000,1014000,1485000,2988000,3354000
-7,831000,780000,519000,507000,615000,954000,1002000,987000,1269000,1278000,1311000,1137000,1125000,1476000,3135000,3483000
-6,837000,807000,621000,531000,615000,993000,1080000,1038000,1356000,1104000,1311000,1065000,1143000,1446000,3183000,3813000
-5,831000,858000,630000,522000,708000,1059000,1017000,1086000,1380000,1164000,1239000,963000,1356000,1461000,3267000,4377000
-4,915000,960000,597000,507000,675000,1083000,1089000,1104000,1380000,1188000,1293000,1125000,1386000,1488000,3336000,4308000
-3,897000,954000,507000,516000,696000,978000,1062000,1167000,1044000,1293000,1392000,1335000,1530000,1734000,5664000,4224000
-2,957000,966000,507000,486000,693000,996000,948000,1107000,1164000,1296000,1239000,1374000,1470000,1635000,5487000,4051861
-1,864000,948000,462000,438000,693000,1017000,927000,1128000,1302000,1281000,1191000,1434000,1437000,1671000,5223000,4135861
0,795000,861000,465000,498000,651000,945000,870780,1056060,1401000,1131120,1113000,1461400,1647000,1739973,5318047,3583861
1,795000,711020,429000,510000,627000,969000,742090,1071156,1395060,1140220,1209000,1659400,1881000,1796973,5192077,3853861
2,804000,567045,429030,531000,639030,978000,739120,1116506,1389110,1254220,1338000,1623400,1788500,2070583,5549082,3625861
3,714000,561075,324080,567020,609030,972420,850175,1137861,1434160,1458220,1408003,1621400,2031500,2034773,5606332,3752011
4,684000,540125,402080,546020,633030,990440,871745,1275886,1467060,1479320,1476923,1746900,1986660,2188223,6230047,3349861
5,675000,516125,399080,504020,621030,981540,956175,1270936,1497060,1590336,1611953,1686900,1977680,2236426,6899047,3673861
6,684000,456125,417090,495020,603150,963580,946880,1384936,1578060,1638396,1795608,1746950,2082079,2251546,7190247,3812071
7,696300,459085,477170,495020,621770,1002610,975150,1363936,1497210,1645596,1687523,1876550,2187064,2395566,7535033,3551071
8,759300,477115,378290,513020,654770,1053640,1023080,1388636,1469960,1591596,1792923,1747550,2307064,2472545,6727236,3995171
9,696300,462115,360290,459020,630920,1104780,1218430,1424936,1392710,1597387,1816913,1726570,2219181,2511775,7417286,3950171
10,774300,450445,345290,450000,651900,1126120,1205535,1403936,1464010,1615387,1889463,1744610,2240181,2827525,7357311,3853383
11,690300,459445,330170,471000,657950,1180265,1277649,1350056,1452170,1630507,1964483,1789600,2261081,2755525,7598785,3889933
12,702300,459465,342140,468000,651950,1183310,1197149,1356056,1365160,1801577,1946533,1840600,2234181,2839555,7745785,4022458
13,759300,447465,351440,465000,723950,1144530,1197149,1329056,1371160,1807567,1892483,1780550,2231881,2848555,7794085,4163483
14,759300,450465,357440,465000,711950,1153530,1185149,1329056,1365160,1738567,1838483,1747550,2138881,2794555,7815035,4190483
