time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,1,1,1,1,12171590,20455713,9367626,1,1590000,3210000,43695000,9825000,6585000,37545000,3735000,1200000
-25,1,1,1,1,12171590,18568208,9366926,1,1590000,6210000,41475000,12075000,6570000,44700000,3750000,1200000
-24,1,1,1,1,12171590,18568209,9380399,1,1860000,8010000,41475000,21375000,8370000,44700000,7515000,25860000
-23,1,1,1,1,12171590,18568208,9392036,1,1860000,22110000,37530000,26760000,8370000,44700000,13515000,25860000
-22,1,1,1,1,9730431,18191257,9546386,1,1860000,22110000,77550000,24360000,9885000,45000000,17715000,25860000
-21,1,1,1,1,9783568,18191259,9250132,1155000,1860000,22110000,77775000,30795000,9885000,29325000,24165000,1800000
-20,1,1,1,1,9783568,16941060,2745000,1155000,270000,22305000,77565000,29895000,9570000,29115000,23265000,1500000
-19,1,1,1,1,9783568,28626593,2745000,1155000,435000,16230000,77565000,76905000,10290000,23010000,43275000,4965000
-18,1,1,1,1,9783568,13437622,3105000,1155000,22635000,17730000,78960000,82920000,25950000,25155000,41115000,22860000
-17,1,1,1,300000,13049960,14877016,4365000,1335000,22665000,17730000,80475000,80220000,26055000,44325000,47970000,28485000
-16,1,1,3000000,2670000,13633277,19286604,4365000,3210000,23865000,22230000,83460000,84795000,58395000,56115000,59760000,31965000
-15,1,1,3000000,14042289,13633277,15739874,3375000,5325000,11235000,31650000,78450000,84795000,58035000,51480000,54720000,50325000
-14,1,1,3000000,15831676,13617469,15739874,3345000,10005000,11250000,42045000,216405000,85065000,79065000,51510000,40770000,45420000
-13,1,1,3000000,15959039,13617469,15702074,29835000,8940000,11250000,40215000,219135000,86355000,81165000,50625000,16245000,57570000
-12,1,1,3000000,16848049,12302717,15774810,32910000,14340000,11430000,39570000,219390000,86700000,73530000,51090000,30570000,60240000
-11,1,1,3000000,17195145,12485638,15774805,53745000,13815000,31770000,39570000,218445000,88335000,77745000,154665000,110850000,131955000
-10,1,1,3000000,34944698,13149609,16397964,55695000,12630000,40155000,53565000,216510000,90435000,75840000,208440000,118875000,191835000
-9,1,1,2100000,33225951,14014264,16015082,30660000,18945000,44535000,205290000,227355000,98505000,85680000,219630000,185925000,209430000
-8,1,1,31560000,33041324,13839039,18508548,46485000,18780000,57480000,208245000,249585000,122160000,117315000,226995000,248880000,275580000
-7,1,1,31560000,14770672,13907478,20946457,80685000,47385000,92730000,228030000,281520000,135390000,118470000,283650000,390495000,340020000
-6,225000,1,42375000,14836658,12416809,63105000,167580000,63360000,144495000,263025000,289560000,178125000,146775000,344010000,448350000,448365000
-5,225000,1125000,44100000,14205356,8282565,52230000,123705000,125055000,138060000,311730000,338475000,252945000,197040000,416310000,562515000,502185000
-4,510000,66840000,41025000,18181165,9099167,60135000,166800000,148820000,182595000,325875000,354045000,265755000,228720000,472590000,650790000,606105000
-3,510000,67245000,43845000,18418601,9236167,94530000,222780000,190955000,236625000,393165000,386370000,310485000,255360000,527640000,728340000,658065000
-2,285000,67245000,65141111,18309377,9382244,97005000,243000000,168650000,301275000,415623896,452010000,319845000,273900000,512730000,785790000,716970000
-1,285000,77955000,64642010,16881510,10492211,116910000,310980000,245270000,347505000,466953896,480870000,273225000,276090000,577230000,900075000,694890000
0,1065000,89085000,58663491,16035222,9723713,140160000,351495000,236300000,371475000,510543896,514380000,278310000,283035000,693120000,904890000,696660000
1,1170000,89880000,54097940,17956170,9044744,307500000,380460000,248349960,406830000,553029456,525901000,290190000,306975000,825544600,934680000,721335000
2,1245000,94125000,55015362,16952720,8886554,391802500,424664500,307269960,459497200,571629456,558046000,307740000,341328000,856534600,1024579200,801525000
3,1245000,95370000,36099744,18694827,8165048,426557500,502096000,325299960,486199200,658404456,589448000,322410000,367953000,876574600,1101529200,800715000
4,1245000,99780000,35206791,18929403,9163028,518344500,511161000,368335165,515867200,667599456,637928000,365266500,420318000,1046554600,1174339200,827790000
5,1335000,70905000,34745801,9798180,13038105,422673500,563241000,408435189,538592200,692184456,697238000,409864987,462213000,1142449600,1201504200,826305000
6,4035000,71355000,35080459,9859508,13241533,433055000,589796000,412483839,564544560,714279456,722273000,410989987,500585000,1092484600,1193809200,824175000
7,4725000,61440000,33992172,9344217,19928891,464300000,616118615,415333839,560959560,672744456,704505000,424309987,491495000,1104904600,1241959200,842160000
8,4785000,61440000,34621706,9576007,19820163,478475000,635018615,425583839,570559560,653414377,646320000,415699987,503030000,1104034600,1223374200,837645000
9,5700000,61906000,33863498,10165297,19798061,471711500,643133615,407868839,562549960,652529377,639968000,414659779,519665000,1096744600,1227109200,835935000
10,6780000,58066000,32818601,10640119,21379622,469010000,654158615,402020839,554299960,635774377,578423000,403773279,497660000,1099894600,1210879200,842130000
11,5805000,57387027,32588819,9727716,22961585,485705000,655268615,401548413,556415760,638210877,558293000,398493279,504995000,1110214600,1191964200,848610000
12,8070000,58216010,31994990,9593670,21791872,487895000,596393362,405198413,562070760,657899877,562148000,381562279,523685000,1195024600,1217344200,846255000
13,8070000,57991000,31454000,10455000,24115000,465065000,623543362,413923413,570875760,661694877,568472122,388132279,557317600,1266319600,1250164200,890820000
14,7365000,61831000,31499000,10995000,22690000,460835000,615113362,413923413,570875760,661679877,568472122,388132279,557302600,1264429600,1269304200,894225000
